tic_name            period       e_period     first_eclipse
tic00349520408    12.8861000     0.0136000     3364.397000
tic00349519544    18.7539809     0.0050582     3360.826080
tic00349518800     2.1655142     0.0000997     3439.280507
tic00349518145     8.2798368     0.0000389     3360.693228
tic00349485058     0.7794008     0.0000030     3354.928109
tic00349485050     0.7793940     0.0000030     3354.930425
tic00349480507     3.1240345     0.0000104     3388.323120
tic00349480491     3.1240375     0.0000397     3357.076112
tic00349413426     1.2871359     0.0000139     3386.286054
tic00349408422    10.8926139     0.0005521     3356.470816
tic00349371595     1.2852620     0.0000030     3355.027867
tic00349311164    11.2155500     0.0000056     3365.435624
tic00349308842     3.5827317     0.0000909     3357.224571
tic00349275813     3.5536770     0.0000059     3359.697294
tic00349273300    11.0955911     0.0009222     3386.520476
tic00349273287     5.5473459     0.0001420     3386.534685
tic00349158571     5.3477968     0.0000098     3386.424549
tic00349157974     0.6982899     0.0000025     3354.688799
tic00349156417     3.3501746     0.0001488     3355.102041
tic00349154435     4.4321520     0.0000175     3354.871142
tic00349061677    17.7695359     0.0006440     3355.929577
tic00349059354     1.6646650     0.0000024     3357.566453
tic00349056499     1.5816449     0.0000036     3355.297300
tic00348997612     4.4183693     0.0000054     3357.922020
tic00348997611     4.4183694     0.0000056     3357.922020
tic00348997601     4.4183483     0.0000311     3357.920634
tic00348961777    20.4172896     0.0069468     3362.340827
tic00348842168    13.9125795     0.0000288     3391.796217
tic00348841791     1.1984053     0.0000245     3387.882966
tic00344027263     1.8944031     0.0000086     3469.393069
tic00344027261     1.8942890     0.0000635     3469.388010
tic00341620403     3.8434988     0.0001403     3492.751973
tic00341193555     9.7234375     0.0000730     3492.842845
tic00341192914     5.3070274     0.0000441     3493.264776
tic00340702289     1.4590545     0.0000216     3492.420756
tic00340486476    12.3053000     0.0402000     3495.033000
tic00340216818     2.7642398     0.0000032     3388.602661
tic00340139190     5.4980412     0.0000057     3388.992732
tic00340064844     1.7596208     0.0000015     3387.153544
tic00340064700     1.5725413     0.0000018     3386.691471
tic00340064698     1.5725357     0.0000086     3386.691580
tic00340059131     4.3067367     0.0000225     3390.204688
tic00340058770     2.7585524     0.0001070     3388.704479
tic00340006849     9.4910518     0.0000525     3387.909335
tic00340006171     4.8781878     0.0001049     3386.913618
tic00339958786    14.9956150     0.0002408     3389.518949
tic00339957333     1.2510483     0.0000021     3386.725560
tic00339860586     1.1565877     0.0000024     3386.742823
tic00339857928     1.1256293     0.0000125     3470.075194
tic00339773085    10.9091869     0.0008247     3471.121440
tic00339673399     9.0025000     0.0119000     3402.510000
tic00339672935     1.8227482     0.0000018     3386.688873
tic00339672028    10.3333863     0.0008699     3387.602958
tic00339636955     2.8504039     0.0001533     3471.197980
tic00323731708     2.5871686     0.0000587     3603.679804
tic00323727580     4.0073387     0.0001768     3601.552498
tic00323727563     4.0073868     0.0001997     3601.552455
tic00323680337     0.4977830     0.0000055     3600.946335
tic00323576726     5.0561810     0.0000272     3603.226324
tic00323520930     2.4644151     0.0000226     3601.721229
tic00323292655     1.6698902     0.0000145     3601.901734
tic00323243242     5.3929445     0.0002710     3601.045611
tic00323173162    20.1667000     0.0949000     3601.492000
tic00323062963     1.3371322     0.0000208     3602.178794
tic00322902048     2.3529715     0.0001208     3572.231592
tic00319558164    16.5963734     0.0000137     3360.078330
tic00319558163    16.5963899     0.0000333     3360.078331
tic00319467578     2.3650028     0.0000302     3356.519422
tic00319433625     4.2378968     0.0000171     3356.019845
tic00316976100     1.2045581     0.0000019     3357.311610
tic00314864553     1.0558039     0.0000011     3355.307786
tic00314830797     2.0107370     0.0000034     3355.823913
tic00314826949     2.0377445     0.0000197     3355.570372
tic00310764431     2.4368754     0.0001410     3546.823411
tic00310644505     1.2579094     0.0000167     3545.469272
tic00310392153     2.9302921     0.0000712     3546.532279
tic00310308203     2.6943804     0.0001066     3546.337559
tic00310308108     1.9703685     0.0000086     3544.827860
tic00309858503     4.1546766     0.0001016     3545.416213
tic00309855081     0.8509797     0.0000038     3545.456591
tic00309781192     7.0516022     0.0002304     3548.334133
tic00309714089     2.4740420     0.0000583     3545.965591
tic00309658221     7.5949679     0.0001211     3357.605750
tic00309657897    10.3320000     0.0063000     3355.176000
tic00309619055    10.5505263     0.0003737     3362.320003
tic00309288984     2.7679436     0.0002098     3546.268814
tic00309253911     5.6751293     0.0000259     3441.709628
tic00309146838     5.4276855     0.0000908     3544.793679
tic00309146836     5.4276855     0.0000908     3544.793679
tic00309144265     2.9708841     0.0000516     3438.597729
tic00309143751     0.7082952     0.0000006     3354.988842
tic00308991822     8.2243971     0.0000081     3377.519826
tic00308852335     1.9713021     0.0000335     3440.735499
tic00308852332     1.9713024     0.0000093     3440.735838
tic00308851582     4.9123935     0.0000488     3547.610894
tic00308851570     4.9125799     0.0005267     3547.613521
tic00308843961     7.5991699     0.0062971     3546.560678
tic00308842843     4.1626954     0.0005950     3545.610292
tic00308749738     2.5280071     0.0000395     3440.680915
tic00308665618     1.0691607     0.0000274     3545.210983
tic00308599842    47.3244000     0.2826000     3448.090000
tic00308539346     2.2333433     0.0000377     3492.977928
tic00308536992     0.3558000     0.0003000     3492.407000
tic00308451526     0.3948261     0.0000113     3452.378457
tic00308450455     4.7683473     0.0000228     3495.963376
tic00308184924     4.1284489     0.0000048     3354.369507
tic00308183933     1.5765240     0.0000012     3355.700431
tic00308150106     6.2304172     0.0001007     3444.229530
tic00308147663     1.3871958     0.0000014     3355.645800
tic00308085306     3.0729028     0.0000475     3438.762147
tic00308083842    22.2104000     0.0268000     3364.723000
tic00307927495    10.2803330     0.0008049     3441.489296
tic00307924946    20.8006000     0.0246000     3439.551000
tic00307849532     0.9199857     0.0000107     3439.824485
tic00307847365     1.2900467     0.0000137     3439.591797
tic00307847133     1.2906489     0.0000250     3355.057137
tic00307780094     7.0595111     0.0004556     3545.387774
tic00307714287    40.6582000     0.0837000     3359.153000
tic00307495225     1.4428182     0.0000178     3355.110505
tic00307488184    10.0666190     0.0002840     3356.831354
tic00307487676     2.5121485     0.0000154     3356.742949
tic00307487369    22.4748000     0.0433000     3356.284000
tic00307438724    11.1288967     0.0015295     3358.935911
tic00307433122    27.7893000   999.1009000     3475.489000
tic00307367221    11.6800306     0.0023152     3365.458754
tic00307285639     2.6202518     0.0000087     3441.368326
tic00307285632     2.6202514     0.0000097     3441.368591
tic00307215323    15.0032894     0.0013890     3361.104245
tic00307215316    14.9947000     0.0242000     3361.105000
tic00307210383     5.9761666     0.0000308     3356.498642
tic00307090914     2.7125435     0.0000031     3356.670839
tic00307084982    19.2544000     0.0237000     3544.366000
tic00307035723    26.6138000     0.0298000     3365.880000
tic00307024753    11.6076426     0.0000098     3355.086440
tic00306932061     3.6046523     0.0000191     3354.617151
tic00306900161     7.1257118     0.0000852     3358.529564
tic00306900155     3.5627940     0.0000126     3354.976292
tic00306898315     5.3745123     0.0000087     3366.931557
tic00306894520     2.6403031     0.0000161     3356.675084
tic00306894517     2.6403116     0.0000284     3356.674878
tic00306828113     0.8505550     0.0021000     3356.621000
tic00306823759    16.0044566     0.0017858     3358.233335
tic00306822369    17.5746000   999.0248000     3358.135000
tic00306822367    26.3728000     0.1271000     3358.135000
tic00306773033     1.3774011     0.0000101     3439.483332
tic00306773020     1.3773822     0.0000142     3356.843257
tic00306635088    17.0062430     0.0013374     3357.960524
tic00306630840     4.2746094     0.0000277     3356.565865
tic00306510653     2.2454882     0.0000547     3355.632148
tic00306510122     3.2904596     0.0000767     3356.805272
tic00306507330     2.0118501     0.0000691     3362.086695
